country_teritorry,product_category,transactions,reported_product_cost,median_observed_expected_ratio,high_review_signals,manufacturers,high_review_share
Kyrgyzstan,Anti-Retroviral and COVID-19 medicine,17,3890.8,0.8929112148557969,0,9,0.0
Azerbaijan,Anti-TB medicine,16,2689.63,0.7760074919343887,0,8,0.0
Bangladesh,"Diagnostic, PPE and Medical Device",16,930.0,1.012311618776611,0,8,0.0
Guinea-Bissau,Anti-malaria medicine,16,1872.52,0.734466421367816,0,4,0.0
Rwanda,Anti-TB medicine,16,801.65,1.2198573526765821,0,5,0.0
South Africa,Anti-Retroviral and COVID-19 medicine,16,3077.0434,0.7405678503548594,0,4,0.0
Tajikistan,Anti-TB medicine,16,1187.9,0.8416869338717088,0,7,0.0
Zimbabwe,Anti-TB medicine,16,1826.32,0.8149405994155291,0,8,0.0
Benin,Anti-Retroviral and COVID-19 medicine,15,3739.73,1.0238278658047557,0,7,0.0
Benin,"Diagnostic, PPE and Medical Device",15,525.0,1.0002555359699956,0,5,0.0
Burundi,Anti-Retroviral and COVID-19 medicine,15,3036.65,0.9921990815421936,0,4,0.0
Comoros,Anti-malaria medicine,15,2876.56,0.8178453468787499,0,1,0.0
Egypt,Anti-TB medicine,15,1516.74,0.7711793905910971,0,6,0.0
Mongolia,"Diagnostic, PPE and Medical Device",15,2145.0,0.9724230720987052,0,5,0.0
Nepal,Anti-Retroviral and COVID-19 medicine,15,600.0,0.9618443257778849,0,8,0.0
Northern Africa,Anti-Retroviral and COVID-19 medicine,15,3263.2,0.7432343174101081,0,6,0.0
Burundi,"Diagnostic, PPE and Medical Device",14,0.0,1.0327010616433823,0,5,0.0
Cambodia,"Diagnostic, PPE and Medical Device",14,0.0,0.8476777700500677,0,6,0.0
Central African Republic,Anti-TB medicine,14,1526.88,1.0012206351693893,0,7,0.0
Chad,"Diagnostic, PPE and Medical Device",14,52.8,0.8518790434361718,0,5,0.0
Mali,Anti-TB medicine,14,3924.02,0.853937305721306,0,7,0.0
Nepal,Anti-TB medicine,14,703.3599999999999,0.9581589553335399,0,8,0.0
Zimbabwe,"Diagnostic, PPE and Medical Device",14,321.77,0.7687289659664771,0,5,0.0
Congo,Anti-TB medicine,13,962.0,1.1955700530001847,0,8,0.0
Guinea-Bissau,"Diagnostic, PPE and Medical Device",13,373.75,0.8543838553558218,0,5,0.0
Pakistan,"Diagnostic, PPE and Medical Device",13,800.0,1.0847418748036233,0,5,0.0
Sri Lanka,Anti-Retroviral and COVID-19 medicine,13,1775.4,0.9619024191887846,0,6,0.0
Uganda,Anti-Retroviral and COVID-19 medicine,13,0.0,1.345459284334673,0,3,0.0
Angola,Anti-TB medicine,12,2166.66,0.8932399188506128,0,7,0.0
Angola,"Diagnostic, PPE and Medical Device",12,180.0,0.9094150912876349,0,2,0.0
